periode,kecamatan,jumlah_penduduk,kasus,kasus_meninggal
4/2016,Semarang Utara,"143.126,0","2,0","0,0"
5/2016,Semarang Utara,"143.126,0","0,0","0,0"
6/2016,Semarang Utara,"143.126,0","3,0","0,0"
7/2016,Semarang Utara,"143.126,0","1,0","0,0"
8/2016,Semarang Utara,"143.126,0","1,0","0,0"
9/2016,Semarang Utara,"143.126,0","0,0","0,0"
10/2016,Semarang Utara,"143.126,0","3,0","0,0"
11/2016,Semarang Utara,"143.126,0","1,0","0,0"
12/2016,Semarang Utara,"143.126,0","0,0","0,0"
1/2016,Tembalang,"180.184,0","2,0","0,0"
2/2016,Tembalang,"180.184,0","11,0","0,0"
3/2016,Tembalang,"180.184,0","21,0","1,0"
4/2016,Tembalang,"180.184,0","12,0","0,0"
5/2016,Tembalang,"180.184,0","13,0","0,0"
6/2016,Tembalang,"180.184,0","8,0","0,0"
7/2016,Tembalang,"180.184,0","5,0","0,0"
8/2016,Tembalang,"180.184,0","11,0","1,0"
9/2016,Tembalang,"180.184,0","12,0","0,0"
10/2016,Tembalang,"180.184,0","11,0","0,0"
11/2016,Tembalang,"180.184,0","11,0","1,0"
12/2016,Tembalang,"180.184,0","7,0","0,0"
1/2016,Tugu,"34.995,0","0,0","0,0"
2/2016,Tugu,"34.995,0","0,0","0,0"
3/2016,Tugu,"34.995,0","1,0","1,0"
4/2016,Tugu,"34.995,0","1,0","0,0"
5/2016,Tugu,"34.995,0","1,0","0,0"
6/2016,Tugu,"34.995,0","0,0","0,0"
7/2016,Tugu,"34.995,0","2,0","1,0"
8/2016,Tugu,"34.995,0","0,0","0,0"
9/2016,Tugu,"34.995,0","0,0","0,0"
10/2016,Tugu,"34.995,0","0,0","0,0"
11/2016,Tugu,"34.995,0","1,0","0,0"
12/2016,Tugu,"34.995,0","0,0","0,0"
1/2017,Banyumanik,"136.866,0","6,0","0,0"
2/2017,Banyumanik,"136.866,0","2,0","0,0"
3/2017,Banyumanik,"136.866,0","2,0","0,0"
4/2017,Banyumanik,"136.866,0","0,0","0,0"
5/2017,Banyumanik,"136.866,0","2,0","0,0"
6/2017,Banyumanik,"136.866,0","1,0","0,0"
7/2017,Banyumanik,"136.866,0","1,0","0,0"
8/2017,Banyumanik,"136.866,0","2,0","0,0"
9/2017,Banyumanik,"136.866,0","2,0","0,0"
10/2017,Banyumanik,"136.866,0","0,0","0,0"
11/2017,Banyumanik,"136.866,0","0,0","0,0"
12/2017,Banyumanik,"136.866,0","2,0","0,0"
1/2017,Candisari,"81.367,0","8,0","0,0"
2/2017,Candisari,"81.367,0","3,0","0,0"
3/2017,Candisari,"81.367,0","2,0","0,0"
4/2017,Candisari,"81.367,0","3,0","0,0"
